Brand,Model,Year,Engine Size,Mileage,Price
Audi,80,1987,1.6D,404 tūkst.,550  €
Audi,A4,2009,2.7D,442 tūkst.,"3,900  €"
Audi,A6,2007,2.7D,338 tūkst.,"3,470  €"
Audi,Allroad,2007,2.7D,-,"4,900  €"
Audi,A4,2012,2.0D,-,"8,790  €"
Audi,A4,2001,1.8,374 tūkst.,"1,550  €"
Audi,A4,2013,2.0D,269 tūkst.,"9,690  €"
Audi,V70,2012,2.4D,310 tūkst.,"7,750  €maiņai"
Audi,A6,2019,2.0D,94 tūkst.,"30,000  €"
Audi,Q7,2019,3.0D,108 tūkst.,"47,700  €"
Audi,Q8,2018,3.0D,76 tūkst.,"69,990  €"
Audi,A4,2003,1.9D,-,"2,300  €"
Audi,Allroad,2009,3.0D,269 tūkst.,"7,450  €"
Audi,A6,2006,3.0D,277 tūkst.,"3,995  €"
Audi,A5,2019,2.0D,102 tūkst.,"22,980  €"
Audi,A6,2016,3.0D,160 tūkst.,"21,500  €"
Audi,A4,2018,2.0D,138 tūkst.,"19,790  €"
Audi,A5,2015,2.0,-,"14,990  €"
Audi,A6,2004,3.0D,318 tūkst.,"3,200  €"
Audi,A5,2012,3.0D,-,"11,990  €"
Audi,A6,2005,3.0D,-,"3,990  €"
Audi,A4,2003,2.5D,271 tūkst.,"2,150  €"
Audi,A6,2008,3.0D,-,"4,950  €"
Audi,A8,2009,3.0D,-,"9,490  €"
Audi,Q3,2013,2.0D,207 tūkst.,"13,900  €"
Audi,A6,2008,3.0D,-,"4,190  €"
Audi,A8,2012,4.2D,-,"18,350  €"
Audi,A6,2005,2.7D,-,"1,800  €maiņai"
Audi,A6,2004,3.0D,-,"2,790  €"
Audi,A6,2006,2.0D,-,"2,398  €"
Audi,A3,1998,1.9D,-,"1,100  €"
Audi,A4,2020,2.0D,189 tūkst.,"22,900  €"
Audi,A6,2015,2.0D,254 tūkst.,"15,000  €"
Audi,A6,2002,1.9D,257 tūkst.,"2,100  €"
Audi,A4,2002,2.0,270 tūkst.,"1,890  €"
Audi,A6,2010,2.7D,-,"5,995  €"
Audi,A6,2003,1.9D,351 tūkst.,"1,900  €"
Audi,A8,2015,3.0D,95 tūkst.,"33,900  €"
Audi,A6,2005,3.0D,-,"1,950  €"
Audi,A3,2009,2.0D,211 tūkst.,"4,750  €"
Audi,Q7,2023,3.0D,17 tūkst.,"65,900  €"
Audi,A3,2014,1.6D,250 tūkst.,"9,550  €"
Audi,A5,2008,2.7D,406 tūkst.,"4,400  €"
Audi,A4,2005,2.5D,-,"3,250  €"
Audi,A5,2010,3.0D,-,"10,900  €"
Audi,TT,2009,2.0,213 tūkst.,"8,800  €"
Audi,A4,2009,2.0,248 tūkst.,"5,000  €"
Audi,Q5,2009,3.0D,2710 tūkst.,"11,950  €"
Audi,A4,2006,2.0D,338 tūkst.,"2,300  €"
Audi,A6,-,-,-,pērku
Audi,A3,-,-,-,pērku
Audi,A4,-,-,-,pērku
Audi,A6,2007,2.7D,-,"3,900  €"
Audi,A4,2010,3.0D,-,"6,790  €"
Audi,A6,2015,3.0D,275 tūkst.,"17,450  €"
Audi,A6,2011,2.0D,270 tūkst.,"6,600  €"
Audi,A3,-,-,-,pērku
Audi,A6,-,-,-,pērku
Audi,Q7,-,-,-,pērku
Audi,A4,1995,1.6,300 tūkst.,350  €
Audi,A6,2003,1.9D,325 tūkst.,"3,200  €"
Audi,A8,2011,4.2D,-,"14,200  €"
Audi,A4,2003,2.5D,-,"2,199  €"
Audi,A5,2011,2.0,202 tūkst.,"8,900  €"
Audi,A3,2015,1.6D,228 tūkst.,"10,965  €"
Audi,A4,2006,2.0D,338 tūkst.,"3,050  €"
Audi,A6,-,-,-,pērku
Audi,A4,2008,2.0D,342 tūkst.,"5,290  €"
Audi,A4,2011,2.0D,-,"7,899  €"
Audi,A5,2016,1.8,151 tūkst.,"16,990  €"
